date,ticker
2023-07-11,AABB
2023-07-25,AABB
2023-08-04,AAOI
2023-04-28,ADUS
2024-05-08,AHCO
2023-10-06,AI
2024-05-24,AKTS
2022-09-09,ALLK
2024-03-11,ALXO
2022-05-13,AMC
2023-10-11,AMC
2024-05-24,AMC
2024-06-07,AMC
2022-08-17,AMTD
2023-06-23,AMTX
2024-01-26,ANY
2022-08-24,APRN
2023-11-29,ARGX
2023-06-16,ARKK
2023-01-20,ARVL
2023-11-15,ASTS
2024-01-31,AVAI
2024-02-07,AVAI
2024-02-21,AVAI
2024-02-21,AVAI
2024-02-23,AVAI
2023-09-19,AVTX
2023-09-25,BCAN
2023-12-20,BDRX
2024-01-10,BETS
2023-06-09,BGNE
2023-11-24,BITF
2023-08-30,BNOX
2023-09-19,CBIA
2023-05-05,CDLX
2021-09-07,CEI
2023-12-29,CING
2023-11-16,CNER
2022-08-12,COIN
2022-12-21,CPMD
2023-12-06,CRMT
2022-07-29,CROX
2022-09-28,CSCw
2024-05-10,CSIQ
2023-02-01,CVLT
2023-02-01,CVLT
2024-05-03,CYRX
2023-11-24,CYTO
2024-02-16,DASH
2024-02-16,DASH
2022-03-30,DAVE
2022-12-23,DBGI
2024-05-31,DELL
2024-05-29,DKNG
2022-08-31,DRUG
2024-01-05,EJH
2023-12-15,EOSE
2022-05-17,ERBB
2023-04-21,EVBG
2024-05-01,FFIV
2022-11-04,FNKO
2023-11-07,FOXF
2023-11-20,FOXF
2024-02-23,FOXF
2023-05-10,FSR
2023-08-04,FTNT
2023-12-13,GGE
2023-12-29,GME
2024-05-17,GME
2024-05-17,GME
2022-09-19,GMER
2022-09-19,GMER
2022-11-03,GMER
2024-03-27,GOEV
2024-04-03,GRTS
2022-08-02,GTCH
2022-08-16,GTCH
2022-08-25,GTCH
2023-03-15,GTLB
2022-03-29,GZIC
2023-10-10,HCNWF
2024-04-10,HLIT
2023-02-08,HLNE
2022-04-04,HUSN
2022-11-22,HUT
2023-07-19,HYMC
2020-08-25,IDEX
2023-07-20,IDEX
2023-05-26,IEP
2023-01-11,ILMN
2022-03-24,IMPP
2022-05-18,JMIA
2023-09-13,JZXN
2022-11-28,KOLD
2024-06-07,KOSS
2023-07-07,LGIH
2022-12-09,LI
2024-06-14,LRCX
2024-06-14,LRCX
2022-10-17,MASN
2022-11-01,MASN
2022-11-09,MASN
2023-06-30,MCHI
2023-06-02,MDB
2023-10-24,MEDP
2023-10-24,MEDP
2023-10-24,MEDP
2024-01-19,METC
2023-08-09,MF
2024-05-10,MGNX
2023-10-16,MGUY
2023-10-16,MGUY
2023-10-16,MGUY
2023-06-07,MMV
2024-04-12,MRIN
2023-12-01,MSTR
2024-03-20,MSTR
2022-10-18,MULN
2022-10-21,MULN
2022-10-30,MULN
2022-11-09,MULN
2023-06-14,MULN
2023-05-19,NEM
2023-09-29,NET
2024-02-09,NET
2024-04-19,NFLX
2024-04-12,NKLA
2024-03-22,NKTX
2022-05-05,NWBO
2023-12-27,NXTP
2023-01-25,OKE
2023-10-04,OKYO
2023-10-04,OKYO
2023-10-04,OKYO
2023-02-15,OM
2024-04-17,PACB
2022-11-23,PBR
2024-04-26,PCSA
2023-02-22,PDD
2024-01-17,PHUN
2024-01-24,PHUN
2022-11-02,PLTK
2024-01-12,PNFP
2024-02-02,RACE
2023-06-28,RIDE
2023-03-08,RIVN
2023-06-30,ROOT
2024-01-19,SILK
2023-12-08,SLDB
2024-04-26,SNAP
2022-09-06,SNOW
2024-04-24,SPWR
2024-05-17,SPWR
2024-03-22,SPXS
2024-04-05,SPXS
2023-12-08,SQQQ
2023-09-08,STX
2023-03-01,TASK
2023-03-01,TASK
2022-03-23,TCBP
2023-10-21,TCBP
2024-05-03,TENB
2023-10-16,TLSA
2023-05-05,TLT
2024-01-05,TLT
2023-05-12,TOP
2022-07-26,TREN
2022-08-18,TREN
2023-04-03,TREN
2023-04-05,TREN
2024-03-29,TSLA
2024-04-19,TSLA
2022-11-15,TTGT
2021-08-16,TVTX
2022-09-22,UBER
2024-03-15,ULTA
2023-07-05,UPST
2023-05-12,USO
2024-04-05,VERI
2022-11-07,VERV
2023-03-29,VORB
2023-06-16,VSTM
2023-12-01,VVOS
2024-03-13,WKHS
2023-10-20,WULF
2024-03-15,WW
2024-01-03,YY
2023-05-03,ZBRA
2024-05-31,ZS
